S No.,Title,Decisions,Words
5669,WNS Q4 Net profit at $13.4 million,"{""WNS"": ""neutral""}",7
9188,Cardamom futures fall 0.77 per cent on profit booking,"{""Cardamom"": ""negative""}",9
1801,Crude oil futures up on overseas cues,"{""Crude oil futures"": ""positive""}",7
9955,"Demand for corporate bonds falls 36% in June on monsoon worries, Greece default","{""corporate bonds"": ""negative""}",13
2430,Shangai stock index hits 8-month high despite worries over economy,"{""Shangai stock index"": ""positive""}",10
10687,"NSE, Sebi hold investor awareness programme in Srinagar","{""NSE"": ""neutral"", ""Sebi"": ""neutral""}",8
5483,ECB's bond buying plan: What's next,"{""ECB"": ""neutral""}",6
6762,Wall Street brightest minds reveal the most important charts in the world,"{""Wall Street"": ""neutral""}",12
10580,"SEB reforms positive for PNB, Canara Bank: Deutsche Bank","{""PNB"": ""positive"", ""Canara Bank"": ""positive"", ""SEB"": ""neutral"", ""Deutsche Bank"": ""neutral""}",9
8976,Cardamom futures decline 0.58 per cent on profit-booking,"{""Cardamom"": ""negative""}",8
1969,Elections to trigger rally in media stocks: Gaurang Shah,"{""media stocks"": ""positive""}",9
8969,"BofA halts buybacks, dividend increase on stress-test error","{""BofA"": ""negative""}",8
8786,10-year bonds pare gains after budget announcements,"{""10-year bonds"": ""negative""}",7
8557,Chennai Petroleum net profit jumps over seven-fold at Rs 364 crore for fourth quarter,"{""Chennai Petroleum"": ""positive""}",14
4698,Diwali only hope for gold traders as demand at two-decade low after yellow metal hits record prices,"{""gold"": ""negative""}",17
7009,Commexes turnover surges 55%,"{""Commexes"": ""positive""}",4
4988,"Mutual funds buy RIL, HDFC Bank and L&T on recovery hopes","{""RIL"": ""positive"", ""HDFC Bank"": ""positive"", ""L&T"": ""positive""}",11
10492,S.Korean stocks post best day in 4-weeks; won closes weaker,"{""S.Korean stocks"": ""positive"", ""won"": ""negative""}",10
4651,Nomura plans to sell stake in mutual fund JV with  Life Insurance Corporation,"{""Nomura"": ""neutral"", ""Life Insurance Corporation"": ""neutral""}",14
1160,"Railways trying to match airlines; to offer personalised alerts, wake-up calls","{""Railways"": ""neutral"", ""airlines"": ""neutral""}",11
1214,Be cautious on amount of stock you buy into BEML: Devang Visaria,"{""BEML"": ""negative""}",12
8360,"Lower levels on Nifty to be good buying opportunities: Mitesh Thacker, miteshthacker.com","{""Nifty"": ""positive""}",12
1326,French President Francois Hollande says euro is now at right level vs dollar,"{""euro"": ""positive""}",13
8455,Blue Star profit up 36 per cent at Rs 31.01 crore in Q1,"{""Blue Star"": ""positive""}",13
8489,"IGATE to create team that targets strategic deals, revenue rises 3.5 per cent","{""IGATE"": ""positive""}",13
4797,"Companies like Vodafone, Vedanta and Adani Power debut in bond sales at cheaper rates","{""Vodafone"": ""neutral"", ""Vedanta"": ""neutral"", ""Adani Power"": ""neutral""}",14
6797,Implementation of new securities lending and borrowing norms will be informed later: NSE,"{""NSE"": ""neutral""}",13
5809,KV Sridhar Joins SapientNitro as chief creative officer,"{""SapientNitro"": ""neutral""}",8
5944,VK Sharma Tipped to be RBI deputy Governor,"{""RBI"": ""neutral""}",8
9988,Over 30 entities under Sebi lens for unusual trading activities on May 16,"{""Sebi"": ""neutral""}",13
10609,"Income tax department orders special audit of MCX-SX, NSEL","{""MCX-SX, NSEL"": ""negative""}",9
1456,Hospitals are very capital intensive: Ajay Bagga,"{""Hospitals"": ""neutral""}",7
5411,Downside risk to NIIT looks limited,"{""NIIT"": ""neutral""}",6
8237,Tata Chemicals Q1 net jumps over two-fold to Rs 175.50 crore,"{""Tata Chemicals"": ""positive""}",11
9059,Markets on edge ahead of Janet Yellen testimony,"{""Markets"": ""negative""}",8
4963,"Chart Check from GEPL Capital for Wednesday, March 07: MMTC, DCB","{""MMTC"": ""neutral"", ""DCB"": ""neutral""}",11
2801,DTDC picks up 70% in logistic firm Nikkos for Rs 1 crore,"{""DTDC"": ""positive""}",12
1645,Macros suddenly turning supportive for markets: Ajay Bodke,"{""markets"": ""positive""}",8
2141,"TTML looks good in telecom space: Amit Harchekar, IIFL","{""TTML"": ""positive"", ""IIFL"": ""neutral""}",9
4537,Avoid getting into JustDial even as the stock continues to fall: Ashwani Gujral,"{""JustDial"": ""negative""}",13
7617,Rail stocks jump 5-12 per cent on FDI buzz,"{""Rail"": ""positive""}",9
4458,OMC stocks likely to witness profit booking in short term: Deven Choksey,"{""OMC stocks"": ""negative""}",12
9635,Disturbance in Saudi oil space can cause market fall: Ambit Capital,"{""market"": ""negative""}",11
5587,Nafed likely to market north-east horticultural products,"{""Nafed"": ""neutral""}",7
7816,GlaxoSmithKline Pharma PAT seen up 16% at Rs 171 cr,"{""GlaxoSmithKline Pharma"": ""positive""}",10
4379,"Brent holds above $109 on outlook for US oil stocks, Ukraine crisis","{""Brent"": ""positive""}",12
730,Sharekhan revises BASF India price target to Rs 586,"{""Sharekhan"": ""neutral"", ""BASF India"": ""neutral""}",9
4358,WTI crude falls to lowest since June on US supply surge,"{""WTI"": ""negative""}",11
10025,Australian shares falls for third day straight as growth data reduces rate hike prospects,"{""Australian shares"": ""negative""}",14
6717,Nifty looks set to touch 6420 in next few days: Mitesh Thacker,"{""Nifty"": ""neutral""}",12
1937,BRIC issuers raise $374.5 billion through debt securities: Dealogic,"{""Dealogic"": ""neutral""}",9
3794,"Oil,pricey inputs make it a sticky affair for Pidilite","{""Pidilite"": ""negative""}",9
3737,Gold declines after 17-week high spurs selling by traders,"{""Gold"": ""negative""}",9
2262,Gemini Communications Q4 net jumps over 3-fold to Rs 15.75cr,"{""Gemini Communications"": ""positive""}",10
7430,BOC India hits 20% upper circuit on delisting plans,"{""BOC India"": ""positive""}",9
4006,Indonesian stock index falls 2 per cent as rupiah depreciates,"{""Indonesian stock index"": ""negative"", ""rupiah"": ""negative""}",10
1111,IPFs of commodity bourses not to have FMC official as trustee,"{""commodity bourses"": ""neutral""}",11
7752,"Bullish on TCS in the IT sector: Pankaj Pandey, ICICIdirect.com","{""TCS"": ""positive"", ""ICICIdirect.com"": ""neutral""}",10
9717,Nagarjuna Construction Company net profit declines 35 per cent in April-June,"{""Nagarjuna Construction Company"": ""negative""}",11
5481,Adecco India head Sudhakar Balakrishnan quits,"{""Adecco India"": ""neutral""}",6
2999,"Jet, SpiceJet shares Soars on Etihad Deal as brokers turned bullish on aviation","{""Jet"": ""positive"", ""SpiceJet"": ""positive"", ""Etihad"": ""neutral""}",13
2395,Pre-market: Nifty likely to bounce back on positive global cues,"{""Nifty"": ""positive""}",10
1186,State-owned banks may have to shell out more on perpetual bonds,"{""State-owned banks"": ""neutral""}",11
2008,"IFC doubles rupee bond offering to Rs 2,000 crore","{""IFC"": ""positive""}",9
194,OnMobile appoints Sanjay Bhambri as Regional VP,"{""OnMobile"": ""neutral""}",7
5612,Pulses market remains steady in tight movements,"{""Pulses"": ""neutral""}",7
2902,Sesa net at Rs 1.62K crore; hopes to resume mining post monsoon,"{""Sesa"": ""positive""}",12
579,Growth more promising in midsize IT companies: Deven Choksey,"{""midsize IT companies"": ""positive""}",9
8109,IDFC sees potential of 30-40% upside in 6-9 months: Devang Mehta,"{""IDFC"": ""positive""}",11
